,Family Size,Living with parents?,Mother Edu,Father Edu,Parent Income,Commute time,Avg study time,Educational support,Extra-curricular,Higher studies,Internet at home?,Tuition count,Health,Avg leaves,Performance,Self Awareness,Self Regulation,Motivation,Empathy,Social Skills,Extroverted,Intuitive,Thinking,Perceiving,IX,X,XI,XII,Female,Male,Other means of travel,Travel by Bus,Travel by auto-rikshaw,Travel by car,Travel by walk
90,0.5,0,0.2,0.6,0.2,0.4,0.6,1,0.2,1,1,1.0,0.2,0.4,77.33333333333333,0.4666666666666667,0.3333333333333333,0.6,0.6,0.4,0.25,-0.375,-0.25,0.0,1,0,0,0,0,1,0,1,0,0,0
91,0.4,1,0.0,0.6,1.0,0.8,0.2,1,0.2,1,1,1.0,0.6,0.6,82.0,0.26666666666666666,0.26666666666666666,0.2,0.4666666666666667,0.4666666666666667,0.125,-0.1875,0.1875,-0.125,1,0,0,0,0,1,0,0,1,0,0
92,0.6,-1,0.0,0.8,0.4,0.6,0.4,-1,0.6,1,1,0.6,0.2,0.4,61.33333333333334,0.4666666666666667,0.8666666666666667,0.6,0.5333333333333333,0.4666666666666667,0.5,0.25,-0.25,0.75,1,0,0,0,0,1,0,0,1,0,0
93,0.5,1,0.8,0.8,0.4,0.2,0.4,1,0.2,1,-1,1.0,0.4,0.6,45.33333333333334,0.4666666666666667,0.5333333333333333,0.8,0.4,0.5333333333333333,0.0,0.0,-0.1875,0.25,1,0,0,0,0,1,0,0,1,0,0
94,0.5,1,0.0,0.6,0.2,0.4,0.4,1,0.2,0,1,0.6,0.6,0.6,52.0,0.4,0.4,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.125,0.0,-0.3125,-0.125,1,0,0,0,0,1,0,0,1,0,0
95,0.4,1,0.0,0.6,1.0,0.8,0.4,1,0.2,1,1,1.0,0.2,0.8,22.0,0.5333333333333333,0.4,0.6,0.4666666666666667,0.4666666666666667,0.125,0.125,-0.25,0.25,1,0,0,0,0,1,0,0,1,0,0
97,0.3,1,0.8,0.6,0.4,0.8,0.4,-1,1.0,1,1,0.2,0.2,0.2,58.66666666666666,0.2,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.125,-0.125,0.25,0.0,1,0,0,0,0,1,0,0,1,0,0
98,0.4,1,0.8,0.8,0.4,0.8,0.6,-1,0.2,1,1,1.0,0.4,0.6,32.8333333333,0.6,0.6666666666666666,0.7333333333333333,0.4,0.7333333333333333,-0.125,-0.1875,-0.125,0.4375,1,0,0,0,1,0,0,0,1,0,0
99,0.4,1,0.0,0.2,0.2,0.2,0.4,1,0.4,-1,1,0.8,0.4,0.2,51.3333333333,0.3333333333333333,0.6,0.6666666666666666,0.4,0.5333333333333333,0.375,0.25,0.0625,0.25,1,0,0,0,1,0,0,0,0,0,1
100,1.0,1,0.6,0.8,0.2,0.6,0.6,1,0.4,1,1,0.8,0.4,0.4,35.0,0.4,0.4,0.8,0.5333333333333333,0.6666666666666666,0.5,0.0625,-0.375,0.1875,1,0,0,0,1,0,0,0,1,0,0
101,0.5,1,0.0,0.0,1.0,0.4,0.6,1,0.2,0,1,1.0,0.6,0.4,41.6666666667,0.4,0.6,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.1875,0.0625,-0.375,0.3125,1,0,0,0,1,0,0,0,1,0,0
102,0.4,1,0.2,0.8,0.2,0.6,0.6,-1,0.2,1,1,0.8,0.6,0.2,72.3333333333,0.3333333333333333,0.6,0.6,0.5333333333333333,0.9333333333333333,-0.125,0.0,-0.0625,0.375,1,0,0,0,1,0,0,0,1,0,0
106,0.4,1,0.2,0.6,0.4,0.8,0.4,-1,0.2,1,1,1.0,0.2,0.6,55.0,0.2,0.6,0.6666666666666666,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0,0.375,1,0,0,0,1,0,1,0,0,0,0
107,0.6,1,0.0,0.0,1.0,0.8,0.4,1,0.2,1,1,0.8,0.8,0.6,28.1666666667,0.4,0.6666666666666666,0.8,0.4666666666666667,0.4666666666666667,-0.3125,-0.1875,-0.125,0.1875,1,0,0,0,1,0,0,0,1,0,0
109,0.4,1,0.2,0.0,1.0,0.8,0.4,1,0.2,1,1,0.8,0.4,0.4,34.8333333333,0.2,0.6,0.7333333333333333,0.5333333333333333,0.5333333333333333,0.25,-0.125,0.3125,0.125,1,0,0,0,1,0,0,0,1,0,0
112,0.6,1,0.4,0.4,1.0,0.6,0.6,1,0.2,1,1,0.8,0.4,0.6,41.0,0.4,0.6666666666666666,0.6666666666666666,0.4,0.4666666666666667,0.0,-0.4375,-0.1875,0.1875,1,0,0,0,1,0,1,0,0,0,0
113,0.5,1,0.0,0.0,0.6,0.6,0.6,1,0.2,1,1,0.8,0.6,0.4,43.8333333333,0.4666666666666667,0.7333333333333333,0.6666666666666666,0.3333333333333333,0.4666666666666667,0.125,0.1875,-0.125,0.4375,1,0,0,0,1,0,0,0,1,0,0
114,0.6,1,0.4,0.6,0.2,0.6,0.4,1,0.2,1,-1,0.4,0.8,0.4,36.5,0.5333333333333333,0.6666666666666666,0.8,0.4,0.3333333333333333,0.1875,-0.25,-0.1875,0.125,1,0,0,0,1,0,1,0,0,0,0
115,0.4,1,0.4,0.0,1.0,0.8,0.6,1,0.4,1,-1,0.6,0.2,0.2,60.1666666667,0.3333333333333333,0.8666666666666667,0.6666666666666666,0.3333333333333333,0.6,0.75,0.25,-0.125,-0.4375,1,0,0,0,1,0,0,0,1,0,0
116,0.4,1,0.0,0.2,1.0,0.6,0.4,-1,0.2,-1,1,0.8,0.4,0.4,53.0,0.6666666666666666,0.8666666666666667,0.8666666666666667,0.4,0.6,-0.25,-0.3125,0.75,0.25,1,0,0,0,1,0,0,0,1,0,0
117,0.4,1,0.0,0.2,0.2,0.6,0.6,-1,0.2,1,1,0.8,0.6,0.4,89.5,0.5333333333333333,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.6666666666666666,-0.3125,-0.1875,0.0,0.3125,1,0,0,0,1,0,0,0,1,0,0
118,0.4,1,0.2,0.6,1.0,0.8,0.4,1,0.4,1,-1,0.6,0.4,0.4,62.6666666667,0.4,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5333333333333333,0.3125,-0.3125,-0.1875,-0.1875,1,0,0,0,1,0,0,0,1,0,0
119,0.5,1,0.6,0.8,0.4,0.4,0.6,1,0.2,1,-1,0.8,0.2,0.8,61.5,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.5333333333333333,0.3333333333333333,0.0,-0.1875,0.3125,0.0,1,0,0,0,0,1,0,1,0,0,0
120,0.4,1,0.4,0.4,0.2,0.4,0.4,-1,0.2,1,-1,0.6,0.4,0.4,66.5,0.4666666666666667,0.4666666666666667,0.6666666666666666,0.4,0.26666666666666666,-0.125,-0.25,0.3125,0.0625,1,0,0,0,0,1,0,0,0,0,1
121,0.7,-1,0.0,0.2,0.2,0.8,0.6,1,0.2,0,-1,0.6,0.6,0.4,46.5,0.4666666666666667,0.6,0.6,0.4666666666666667,0.4666666666666667,0.3125,-0.25,-0.25,0.0625,1,0,0,0,0,1,0,0,0,1,0
122,0.5,1,0.6,0.6,0.2,0.6,0.6,1,0.2,1,1,0.8,0.4,0.4,48.0,0.3333333333333333,0.4666666666666667,0.5333333333333333,0.4,0.3333333333333333,0.1875,-0.4375,-0.0625,0.875,1,0,0,0,0,1,1,0,0,0,0
123,0.6,1,0.2,0.4,0.2,0.2,0.8,-1,0.2,0,1,0.4,0.6,0.6,25.8333333333,0.4666666666666667,0.8,0.4666666666666667,0.6,0.6,-0.0625,-0.4375,0.0,0.625,1,0,0,0,0,1,0,0,1,0,0
